"Entry ID","Lemma ID","Code (survey)","Batch (survey)","List (survey)","Item (survey)","English Word Frequency","Frequency","Frequency SD","Frequency Z","Frequency N","Sign Unknown","Frequency (Native)","Frequency SD (Native)","Frequency Z (Native)","Frequency N (Native)","Sign Unknown (Native) (proportion)","Frequency (Nonnative)","Frequency SD (Nonnative)","Frequency Z (Nonnative)","Frequency N (Nonnative)","Sign Unknown (Nonnative) (proportion)","Dominant Translation","Dominant Translation Agreement (proportion)","Dominant Translation Agreement (Native) (proportion)","Dominant Translation Agreement (Nonnative) (proportion)","Nondominant Translations","Non-Signer Iconicity","Non-Signer Iconicity SD","Non-Signer Iconicity Z","Non-Signer Iconicity N","Non-Signer Iconicity ID","Deaf Signer Iconicity","Deaf Signer Iconicity SD","Deaf Signer Iconicity Z","Deaf Signer Iconicity N","Deaf Signer Iconicity (Native)","Deaf Signer Iconicity SD (Native)","Deaf Signer Iconicity Z (Native)","Deaf Signer Iconicity N (Native)","Consistency of Guesses","Accuracy of Guesses (proportion)","Transparency","Transparency SD","Transparency Z","Lexical Class","Initialized Sign","Fingerspelled Loan Sign","Compound","Number Of Morphemes","Sign Onset","Sign Offset","Sign Duration","Video Duration","Handshape","Selected Fingers","Flexion","Flexion Change","Spread","Spread Change","Thumb Position","Thumb Contact","Sign Type","Path Movement","Repeated Movement","Major Location","Minor Location","Second Minor Location","Contact","Nondominant Handshape","Wrist Twist","Handshape Morpheme 2","Selected Fingers Morpheme 2","Flexion Morpheme 2","Flexion Change Morpheme 2","Spread Morpheme 2","Spread Change Morpheme 2","Thumb Position Morpheme 2","Thumb Contact Morpheme 2","Sign Type Morpheme 2","Movement Morpheme 2","Repeated Movement Morpheme 2","Major Location Morpheme 2","Minor Location Morpheme 2","Second Minor Location Morpheme 2","Contact Morpheme 2","Nondominant Handshape Morpheme 2","Wrist Twist Morpheme 2","Handshape Morpheme 3","Selected Fingers Morpheme 3","Flexion Morpheme 3","Flexion Change Morpheme 3","Spread Morpheme 3","Spread Change Morpheme 3","Thumb Position Morpheme 3","Thumb Contact Morpheme 3","Signtype Morpheme 3","Movement Morpheme 3","Repeated Movement Morpheme 3","Major Location Morpheme 3","Minor Location Morpheme 3","Second Minor Location Morpheme 3","Contact Morpheme 3","Nondominant Handshape Morpheme 3","Wrist Twist Morpheme 3","Handshape Morpheme 4","Selected Fingers Morpheme 4","Flexion Morpheme 4","Flexion Change Morpheme 4","Spread Morpheme 4","Spread Change Morpheme 4","Thumb Position Morpheme 4","Thumb Contact Morpheme 4","Sign Type Morpheme 4","Movement Morpheme 4","Repeated Movement Morpheme 4","Major Location Morpheme 4","Minor Location Morpheme 4","Second Minor Location Morpheme 4","Contact Morpheme 4","Nondominant Handshape Morpheme 4","Wrist Twist Morpheme 4","Handshape Morpheme 5","Selected Fingers Morpheme 5","Flexion Morpheme 5","Flexion Change Morpheme 5","Spread Morpheme 5","Spread Change Morpheme 5","Thumb Position Morpheme 5","Thumb Contact Morpheme 5","Sign Type Morpheme 5","Movement Morpheme 5","Repeated Movement Morpheme 5","Major Location Morpheme 5","Minor Location Morpheme 5","Second Minor Location Morpheme 5","Contact Morpheme 5","Nondominant Handshape Morpheme 5","Wrist Twist Morpheme 5","Handshape Morpheme 6","Selected Fingers Morpheme 6","Flexion Morpheme 6","Flexion Change Morpheme 6","Spread Morpheme 6","Spread Change Morpheme 6","Thumb Position Morpheme 6","Thumb Contact Morpheme 6","Sign Type Morpheme 6","Movement Morpheme 6","Repeated Movement Morpheme 6","Major Location Morpheme 6","Minor Location Morpheme 6","Second Minor Location Morpheme 6","Contact Morpheme 6","Nondominant Handshape Morpheme 6","Wrist Twist Morpheme 6","Sign Type Frequency","Major Location Frequency","Minor Location Frequency","Second Minor Location Frequency","Movement Frequency","Selected Fingers Frequency","Flexion Frequency","Flexion Change Frequency","Repeated Movement Frequency","Contact Frequency","Spread Frequency","Spread Change Frequency","Thumb Contact Frequency","Thumb Position Frequency","Ulnar Rotation Frequency","Neighborhood Density","Parameter Neighborhood Density","Phonotactic Probability","Phonological Complexity","SignBank Semantic Field","SignBank Reference ID","In CDI","CDI Semantic Category","Age Of Acquisition","Age Of Acquisition (Empirical)","Handshape Image"
"impossible","impossible","B_01_032","B","1","32","3.479","4.542","1.474","-0.068","24","0.04","4.154","1.519","-0.309","13","0.071","5","1.342","11","0.216","0","N/A","N/A","N/A","N/A","N/A","2.296","1.235","-0.274","27","N/A","1.33","0.84","31","-0.79","1.43","0.98","-0.69","22","2.73","0.158","3.84","1.68","-0.07","Adjective","0","0","0","1","534","934","400","1802","y","p","Fully Open","0","N/A","N/A","Open","0","Asymmetrical Different Handshape","Straight","1","Hand","Palm","N/A","1","B","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.077","0","0.457","0.033","0.409","0.791","0.446","0.622","0","0","0.684","0.657","0.836","2","366","-0.159","3","Attribute","1745","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/y.png"" />"
"impress","impress","F_02_032","F","2","32","2.717","5.593","1.047","0.719","27","0","5.5","1.225","0.651","14","0","5.692","0.855","13","0.792","0","N/A","N/A","N/A","N/A","N/A","2.633","1.829","-0.404","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","434","1134","701","1668","a","t","N/A","N/A","N/A","N/A","Open","N/A","Asymmetrical Different Handshape","Curved","0","Hand","Palm","N/A","1","B","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.077","0","0.233","0.057","0","0","0.554","0.622","0","0","0","0.657","0.164","1","218","-0.878","4","None","1744","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
"improve","improve","H_02_003","H","2","3","2.617","5.107","1.315","0.624","28","0","5.071","1.542","0.599","14","0","5.143","1.099","14","0.649","0","N/A","N/A","N/A","N/A","N/A","2.087","1.311","-0.494","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","400","1368","968","1768","open_b","imrp","Fully Open","0","0","0","Open","0","One Handed","Curved","0","Arm","Forearm Back","Upper Arm","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.026","0.003","0.002","0.233","0.449","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.657","0.836","4","87","0.275","2","Event","1743","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
"in","in","E_03_062","E","3","62","5.698","4.867","1.634","0.352","30","0","4.857","1.351","0.27","14","0","4.875","1.893","16","0.423","0","N/A","N/A","N/A","N/A","N/A","5.9","1.709","1.131","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Minor","0","0","0","1","434","1168","734","1702","flatspread_5","imrp","Flat","0","1","1","Open","1","Asymmetrical Different Handshape","Straight","0","Hand","Palm","N/A","1","C","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.077","0","0.457","0.449","0.162","0.791","0.554","0.622","0.398","0.122","0.316","0.657","0.836","3","365","0.042","2","N/A","N/A","Yes","Prepositions and Locations","33","28","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />"
"inch","inch","H_01_056","H","1","56","2.801","1.385","0.87","-1.383","28","0.536","1.167","0.408","-1.489","14","0.571","1.571","1.134","14","-1.292","0.5","N/A","N/A","N/A","N/A","N/A","2.15","1.725","-0.613","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","0","0","0","1","467","1335","868","1969","a","t","N/A","N/A","N/A","N/A","Open","N/A","Asymmetrical Same Handshape","Straight","1","Hand","Finger Tip","Hand Away","1","a","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.059","0.25","0.023","0.155","0.457","0.057","0","0","0.446","0.622","0","0","0","0.657","0.836","1","414","-0.773","2","None","1741","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
"incredible","incredible","J_03_080","J","3","80","3.285","3.286","1.997","-0.469","29","0.034","3.667","2.193","-0.276","15","0","2.846","1.725","14","-0.692","0.071","N/A","N/A","N/A","N/A","N/A","2.217","1.506","-0.292","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","801","1568","767","2102","l","i","Fully Open","0","N/A","N/A","Open","0","Symmetrical Or Alternating","Curved","1","Neutral","Neutral","Neutral","0","l","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.233","0.261","0.409","0.791","0.446","0.378","0","0","0.684","0.657","0.164","2","263","-0.004","2","Attribute","1740","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/l.png"" />"
"independent","independent","J_03_040","J","3","40","2.679","4.793","1.236","0.406","29","0","4.733","1.223","0.309","15","0","4.857","1.292","14","0.51","0","N/A","N/A","N/A","N/A","N/A","2.435","1.59","-0.168","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","1","0","0","1","634","1335","701","1902","i","p","Fully Open","0","N/A","N/A","Closed","0","Symmetrical Or Alternating","Curved","0","Neutral","Neutral","Neutral","1","i","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.363","0.363","0.426","0.233","0.033","0.409","0.791","0.554","0.622","0","0","0.684","0.343","0.164","0","254","0.028","3","Attribute","1739","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/i.png"" />"
"indian","indian","C_03_009","C","3","9","2.246","3.138","1.597","-0.688","29","0","3.118","1.453","-0.786","17","0","3.167","1.85","12","-0.548","0","N/A","N/A","N/A","N/A","N/A","2.167","1.444","-0.394","36","N/A","2.69","1.76","30","-0.1","2.95","1.88","0","21","2.87","0","3.26","1.79","-0.41","Adjective","0","0","0","1","534","734","200","1602","a","t","N/A","N/A","N/A","N/A","Open","N/A","One Handed","None","0","Head","Forehead","N/A","1","N/A","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.039","0","0.153","0.057","0","0","0.554","0.622","0","0","0","0.657","0.164","4","258","-0.785","2","None","2967","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
"inept","inept","J_02_032","J","2","32","1.643","3.741","1.701","-0.253","30","0.1","4","1.78","-0.183","15","0.133","3.5","1.653","15","-0.319","0.067","incompetent","0.63","0.769","0.5","can't, incapable, inefficient, inept, lousy, no good","1.64","1.186","-0.783","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","534","1268","734","1869","a","imrp","Fully Closed","1","N/A","0","Open","0","Asymmetrical Different Handshape","Curved","0","Hand","Finger Radial","Hand Away","1","S","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.035","0.155","0.233","0.449","0.067","0.209","0.554","0.622","0","0.878","0.684","0.657","0.836","0","218","-0.058","3","Attribute","1735","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
"infection","infection","H_02_057","H","2","57","2.65","4.5","1.478","0.254","28","0","4.429","1.555","0.179","14","0","4.571","1.453","14","0.328","0","insurance","0.857","0.929","0.786","infection, inning, introvert","1.261","0.619","-0.946","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Noun","1","0","0","1","400","1201","801","1668","i","p","Fully Open","0","N/A","N/A","Closed","0","One Handed","Straight","1","Neutral","Neutral","Neutral","0","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.363","0.363","0.426","0.457","0.033","0.409","0.791","0.446","0.378","0","0","0.684","0.343","0.836","6","453","0.058","2","None","1734","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/i.png"" />"
"influence","influence","H_02_031","H","2","31","2.878","4.571","1.317","0.26","28","0","4.786","1.251","0.417","14","0","4.357","1.393","14","0.102","0","N/A","N/A","N/A","N/A","N/A","2.13","0.92","-0.528","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","467","1401","934","1902","flat_o","imrp","Flat","1","0","1","Open","1","Asymmetrical Different Handshape","Straight","0","Hand","Palm Back","Hand Away","1","B","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.175","0.25","0.024","0.155","0.457","0.449","0.162","0.209","0.554","0.622","0.602","0.122","0.316","0.657","0.836","3","356","-0.009","2","Event","649","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />"
"inhale","inhale","J_03_048","J","3","48","2.083","3.536","1.644","-0.41","29","0.034","3.267","1.668","-0.554","15","0","3.846","1.625","14","-0.243","0.071","N/A","N/A","N/A","N/A","N/A","4.913","1.621","1.148","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","567","1268","701","1802","flatspread_5","imrp","Flat","0","1","1","Open","1","One Handed","Straight","0","Head","Head Away","Mouth","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.266","0.066","0.004","0.457","0.449","0.162","0.791","0.554","0.622","0.398","0.122","0.316","0.657","0.836","0","341","0.181","1","Event","1998","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flatspread_5.png"" />"
"inject","inject","D_03_009","D","3","9","2.093","2.654","1.468","-0.857","26","0","2.938","1.181","-0.702","16","0","2.2","1.814","10","-1.105","0","N/A","N/A","N/A","N/A","N/A","6.333","1.239","1.687","24","N/A","5.42","1.39","26","1.17","5.44","1.42","1.21","18","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","434","1435","1001","2002","a","t","N/A","1","N/A","N/A","Open","N/A","One Handed","Straight","0","Arm","Upper Arm","N/A","1","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.392","0.026","0.005","0","0.457","0.057","0","0.209","0.554","0.622","0","0","0","0.657","0.836","1","107","-0.626","2","None","2968","Yes","Action Signs","41","35","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
"innocent","innocent","G_02_062","G","2","62","3.444","4.667","1.776","0.234","27","0","4.167","1.749","-0.006","12","0","5.067","1.751","15","0.426","0","N/A","N/A","N/A","N/A","N/A","1.594","1.16","-0.914","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","534","1201","667","1802","h","im","Fully Open","0","0","0","Closed","0","Symmetrical Or Alternating","Curved","0","Head","Chin","Head Away","1","h","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.266","0.037","0.178","0.233","0.14","0.409","0.791","0.554","0.622","0.602","0.878","0.684","0.343","0.164","0","151","0.055","3","N/A","N/A","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/h.png"" />"
"inside","inside","H_01_047","H","1","47","4.032","5.536","1.105","0.856","28","0","5.571","1.089","0.879","14","0","5.5","1.16","14","0.834","0","N/A","N/A","N/A","N/A","N/A","5.55","1.146","1.078","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Adjective","0","0","0","1","434","1235","801","1869","o","imrp","Curved","0","0","0","Open","1","Asymmetrical Same Handshape","Straight","1","Hand","Other","N/A","1","o","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.059","0.25","0.025","0","0.457","0.449","0.225","0.791","0.446","0.622","0.602","0.878","0.316","0.657","0.836","1","386","0.013","1","Locative","490","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/o.png"" />"
"inspire","inspire","G_02_051","G","2","51","2.299","4.815","1.495","0.306","27","0","4.583","1.564","0.225","12","0","5","1.464","15","0.371","0","N/A","N/A","N/A","N/A","N/A","3.788","1.746","0.138","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Verb","0","0","0","1","434","1335","901","2002","flat_o","imrp","Flat","1","0","1","Open","1","Symmetrical Or Alternating","Curved","0","Body","Body Away","Body Away","0","flat_o","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.345","0.094","0.016","0.045","0.233","0.449","0.162","0.209","0.554","0.378","0.602","0.122","0.316","0.657","0.836","0","97","-0.301","2","Event","1732","No","N/A","N/A","N/A","<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_o.png"" />"
