pyramid, enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts,https://media.signbsl.com/videos/asl/tsdvideo/mp4/188.mp4
puss, obscene terms for female genitals,https://media.signbsl.com/videos/asl/youtube/mp4/pMQUh8hNUf4.mp4
puss, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=_khxJikfLuc
puss, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=oURMtbnjFck
put-my-heart-into-it,,https://media.signbsl.com/videos/asl/youtube/mp4/Ph7Fr1xa0H8.mp4
push-rod,,https://media.signbsl.com/videos/asl/AustinCommunityCollege/mp4/auto_push_rod_.mp4
put-down, cause to come to the ground,https://www.youtube.com/watch?v=4ohyvYMgVDw
put-down, leave or unload especially of passengers or cargo,https://www.youtube.com/watch?v=A9IgFTc-6f0
put-down, put down in writing; of texts musical compositions etc.,https://player.vimeo.com/external/392636466.sd.mp4
put-down, leave or unload especially of passengers or cargo,https://media.signbsl.com/videos/asl/youtube/mp4/OZJiqTpKMMk.mp4
put-down, leave or unload especially of passengers or cargo,https://www.youtube.com/watch?v=ucoyBTCnQDg
put-down, cause to come to the ground,https://media.signbsl.com/videos/asl/youtube/mp4/F-KugufSmws.mp4
put-shoes-on,,https://media.signbsl.com/videos/asl/youtube/mp4/_POIv_n6rnM.mp4
pushier,,https://www.youtube.com/watch?v=W-11RuCHH9w
putter-around, move around aimlessly,https://www.youtube.com/watch?v=ILOCkRoF_K8
pushover, any undertaking that is easy to do,https://player.vimeo.com/external/392699936.sd.mp4
pushover, someone who is easily taken advantage of,https://www.youtube.com/watch?v=9ylXcGQUbXk
put-on-toppings,,https://www.youtube.com/watch?v=byuEERuGcGM
put-together, in conjunction with; combined,https://player.vimeo.com/external/392522778.sd.mp4
put-together, in conjunction with; combined,https://media.signbsl.com/videos/asl/youtube/mp4/shTvIvdU_co.mp4
put-together, in conjunction with; combined,https://media.signbsl.com/videos/asl/elementalaslconcepts/mp4/together.mp4
put-on-pants,,https://media.signbsl.com/videos/asl/youtube/mp4/oVpPAKkwMrs.mp4
put-up-to,,https://www.youtube.com/watch?v=RyYFbbBELQs
pushchair, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=f1tAfxwtrEc
pushchair, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=CXNsrrx_hyI
pushchair, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=AJ5CUpJc9qE
pushchair, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=adyH7g3t1nM
put-shirt-on,,https://media.signbsl.com/videos/asl/youtube/mp4/ScYlSAt7wUU.mp4
put-up, construct build or erect,https://www.youtube.com/watch?v=5DR-fiAr9Wc
put-up, put up with something or somebody unpleasant,https://player.vimeo.com/external/392523000.sd.mp4
put-hair-behind,,https://media.signbsl.com/videos/asl/youtube/mp4/a1J-pz4oTcU.mp4
push-up, push upward,https://media.signbsl.com/videos/asl/youtube/mp4/XUz3RXBC5GA.mp4
put-away, lock up or confine in or as in a jail,https://media.signbsl.com/videos/asl/unoclimb/mp4/TqvDA0-U-Wo.mp4
put-away, throw or cast away,https://www.youtube.com/watch?v=0NLtXMH1v9M
put-away, eat up; usually refers to a considerable quantity of food,https://media.signbsl.com/videos/asl/youtube/mp4/ywSW6un35tU.mp4
put-away, throw or cast away,https://media.signbsl.com/videos/asl/ids/mp4/2013-11-730-cast-out-1600k-ase.mp4
put-away, lock up or confine in or as in a jail,https://www.youtube.com/watch?v=hR2o9dzC9iQ
put-away, throw or cast away,https://media.signbsl.com/videos/asl/startasl/mp4/discard.mp4
put-away, eat up; usually refers to a considerable quantity of food,https://media.signbsl.com/videos/asl/youtube/mp4/8R3OYSzGAqU.mp4
put-away, throw or cast away,https://www.youtube.com/watch?v=A2v3Rbp3OlU
put-away, lock up or confine in or as in a jail,https://www.youtube.com/watch?v=up5mLMKz39A
put-one-over, fool or hoax,https://www.youtube.com/watch?v=RJ0Uo53olSg
put-one-over, fool or hoax,https://www.youtube.com/watch?v=mJuwfZ-HdLU
putrefied, in an advanced state of decomposition and having a foul odor,https://www.youtube.com/watch?v=BNv-aFc9P1M
putout, an out resulting from a fielding play (not a strikeout),https://www.youtube.com/watch?v=WmPGjwRe_Zo
putout, to cause inconvenience or discomfort to,https://www.youtube.com/watch?v=lnH9XpV3r7I
pussy, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=_khxJikfLuc
pussy, informal terms referring to a domestic cat,https://www.youtube.com/watch?v=oURMtbnjFck
pussy, obscene terms for female genitals,https://media.signbsl.com/videos/asl/youtube/mp4/pMQUh8hNUf4.mp4
pusher, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=AJ5CUpJc9qE
pusher, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=f1tAfxwtrEc
pusher, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=adyH7g3t1nM
pusher, a small vehicle with four wheels in which a baby or child is pushed around,https://www.youtube.com/watch?v=CXNsrrx_hyI
